Epoch [1/50]  Loss: 0.1392  mAP50: 0.9180  mAP: 0.9180  Recall: 0.9974  F1: 0.9561  LR: 0.000100
Epoch [2/50]  Loss: 0.0472  mAP50: 0.9497  mAP: 0.9497  Recall: 0.9974  F1: 0.9730  LR: 0.000100
Epoch [3/50]  Loss: 0.0345  mAP50: 0.9556  mAP: 0.9556  Recall: 0.9940  F1: 0.9744  LR: 0.000100
Epoch [4/50]  Loss: 0.0302  mAP50: 0.9523  mAP: 0.9523  Recall: 0.9974  F1: 0.9744  LR: 0.000100
Epoch [5/50]  Loss: 0.0278  mAP50: 0.9586  mAP: 0.9586  Recall: 0.9948  F1: 0.9764  LR: 0.000010
Epoch [6/50]  Loss: 0.0186  mAP50: 0.9640  mAP: 0.9640  Recall: 0.9974  F1: 0.9804  LR: 0.000010
Epoch [7/50]  Loss: 0.0163  mAP50: 0.9645  mAP: 0.9645  Recall: 0.9974  F1: 0.9807  LR: 0.000010
Epoch [8/50]  Loss: 0.0156  mAP50: 0.9660  mAP: 0.9660  Recall: 0.9974  F1: 0.9815  LR: 0.000010
Epoch [9/50]  Loss: 0.0153  mAP50: 0.9663  mAP: 0.9663  Recall: 0.9974  F1: 0.9816  LR: 0.000010
Epoch [10/50]  Loss: 0.0151  mAP50: 0.9618  mAP: 0.9618  Recall: 0.9906  F1: 0.9760  LR: 0.000001
Epoch [11/50]  Loss: 0.0137  mAP50: 0.9646  mAP: 0.9646  Recall: 0.9940  F1: 0.9791  LR: 0.000001
Epoch [12/50]  Loss: 0.0135  mAP50: 0.9650  mAP: 0.9650  Recall: 0.9940  F1: 0.9793  LR: 0.000001
Epoch [13/50]  Loss: 0.0134  mAP50: 0.9649  mAP: 0.9649  Recall: 0.9940  F1: 0.9792  LR: 0.000001
Epoch [14/50]  Loss: 0.0134  mAP50: 0.9648  mAP: 0.9648  Recall: 0.9940  F1: 0.9792  LR: 0.000001
Epoch [15/50]  Loss: 0.0132  mAP50: 0.9651  mAP: 0.9651  Recall: 0.9940  F1: 0.9794  LR: 0.000000
Epoch [16/50]  Loss: 0.0131  mAP50: 0.9652  mAP: 0.9652  Recall: 0.9940  F1: 0.9794  LR: 0.000000
Epoch [17/50]  Loss: 0.0132  mAP50: 0.9652  mAP: 0.9652  Recall: 0.9940  F1: 0.9794  LR: 0.000000
Epoch [18/50]  Loss: 0.0131  mAP50: 0.9654  mAP: 0.9654  Recall: 0.9940  F1: 0.9795  LR: 0.000000
Epoch [19/50]  Loss: 0.0132  mAP50: 0.9653  mAP: 0.9653  Recall: 0.9940  F1: 0.9795  LR: 0.000000
