Epoch [45/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [46/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [47/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [48/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [49/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [50/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch50.pth
Epoch [51/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [52/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [53/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [54/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [55/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [56/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [57/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [58/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [59/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [60/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch60.pth
Epoch [61/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [62/100]  Loss: 0.0141  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [63/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [64/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [65/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [66/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [67/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [68/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [69/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [70/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch70.pth
Epoch [71/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [72/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [73/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [74/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [75/100]  Loss: 0.0141  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [76/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [77/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [78/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [79/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [80/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch80.pth
Epoch [81/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [82/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [83/100]  Loss: 0.0144  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [84/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [85/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [86/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [87/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [88/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [89/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [90/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
  → Checkpoint guardado: /kaggle/working/ckpt_epoch90.pth
Epoch [91/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [92/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [93/100]  Loss: 0.0143  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [94/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [95/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [96/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [97/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [98/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [99/100]  Loss: 0.0142  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
Epoch [100/100]  Loss: 0.0141  mAP50: 0.9522  mAP: 0.9522  Recall: 0.9940  F1: 0.9727  LR: 0.000000
